岗位名称,单位名称,省份,月薪范围(k),招聘人数,学历要求,专业要求,单位性质,单位规模,福利标签,发布时间,职位ID
新媒体实习生,上海鸿景领炫网络科技有限公司,上海,2.0-4.0,1,本科及以上,新闻学 广告学 计算机 设计 市场营销,民营企业,1-49人,,2026-07-08 15:43,XqhCBnqqiHuQSi4tbc8DHe
物流实习生,胜宸（天津）生物科技有限公司,天津,4.0-5.0,1,专科及以上,物流,民营企业,50-99人,,2026-07-08 15:04,VBDshUPQBzWckikBCqDi1J
南航虹桥机场浦东机场地面服务保障实习生,中国南方航空股份有限公司上海分公司,上海,2.0-4.0,20,专科及以上,专业不限,股份制企业,1000-4999人,,2026-07-08 15:00,EhnoFUF34rXkjBzbzxqXt1
餐饮服务员,深圳市八合里餐饮管理有限公司,广东,4.0-6.0,30,专科及以上,酒店管理 旅游管理 餐饮管理 酒店管理与数字化运营 休闲服务与管理 会展策划与管理 市场营销 电子商务 商务管理 工商企业管理 人力资源管理 现代文秘 社会工作 社区管理与服务 公共事务管理 商务英语 艺术设计 健康管理 护理 学前教育 城市轨道交通运营管理 大数据技术 现代物流管理 国际经济与贸易 金融服务与管理 美容美体艺术 时尚表演与传播 幼儿保育 公共文化服务与管理 心理咨询技术 网络直播与运营 空中乘务,民营企业,1000-4999人,五险一金，岗位晋升，节日礼物，提供住宿,2026-07-08 14:34,2AkUTZjxb8p17un78gog2K
客服专员,上海凯淳实业股份有限公司,上海,2.3-8.0,5,不限,计算机 空中乘务 航空服务 城市轨道交通运营与管理 电子商务 工商管理,合资企业,1-49人,,2026-07-08 14:14,CRPPQ2eWdjqefDhGdzNL5e
前台接待,上海佳太美医疗美容门诊部有限公司,上海,3.0-4.0,2,专科及以上,不限,民营企业,100-499人,岗位晋升，技能培训，专项奖金，绩效奖金，年度旅游，节日礼物，提供住宿,2026-07-08 14:12,DvYPqJ5Kqcui74RSxERHQ
展品看护及秩序维护,北京中普物业管理有限公司,北京,3.0-4.0,20,不限,酒店管理、旅游管理、空中乘务优先,民营企业,100-499人,,2026-07-08 13:47,B1qZwQysd3QK7C4N9kd7or
餐饮VIP接待实习,长荣（上海）酒店有限公司,上海,3.0-5.0,3,专科及以上,,外商独资/外企代表处,1000人以上,,2026-07-08 13:40,C9p2dvQ9NbxM6Bj7BQT3Dz
前台接待,长荣（上海）酒店有限公司,上海,3.0-4.0,2,专科及以上,不限,外商独资/外企代表处,1000人以上,,2026-07-08 13:40,JhScxJAf1BScVQpM1Pjzy9
基恩士2027校园大使招募,基恩士（中国）有限公司,全国,1.0-3.0,10,本科及以上,,外商独资/外企代表处,员工数量,,2026-07-08 11:09,Acx9Z7e863A76VWdu2q4fj
